workflow_order,workflow_id,workflow_title,palette_lane,priority_tier,layer,object,canonical_path,member_type,member_name,accessible_label,context_label,blind_vi_purpose
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,track,Track,live_set tracks N,property,input_meter_right,Input Meter Right,Track prop @ tracks N,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,track,Track,live_set tracks N,property,muted_via_solo,Muted Via Solo,Track prop @ tracks N,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,track,Track,live_set tracks N,property,output_meter_left,Output Meter Left,Track prop @ tracks N,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,track,Track,live_set tracks N,property,output_meter_right,Output Meter Right,Track prop @ tracks N,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,clip,Clip,live_set tracks N clip_slots M clip,property,gain,Gain,Clip prop @ tracks N clip_slots M clip,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,clip,Clip,live_set tracks N clip_slots M clip,property,gain_display_string,Gain Display String,Clip prop @ tracks N clip_slots M clip,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,mixer,MixerDevice,live_set tracks N mixer_device,child,crossfader,Crossfader,MixerDevice child @ tracks N mixer_device,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,mixer,MixerDevice,live_set tracks N mixer_device,child,left_split_stereo,Left Split Stereo,MixerDevice child @ tracks N mixer_device,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,mixer,MixerDevice,live_set tracks N mixer_device,child,right_split_stereo,Right Split Stereo,MixerDevice child @ tracks N mixer_device,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,mixer,MixerDevice,live_set tracks N mixer_device,child,sends,Sends,MixerDevice child @ tracks N mixer_device,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,mixer,MixerDevice,live_set tracks N mixer_device,child,song_tempo,Song Tempo,MixerDevice child @ tracks N mixer_device,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,mixer,MixerDevice,live_set tracks N mixer_device,property,crossfade_assign,Crossfade Assign,MixerDevice prop @ tracks N mixer_device,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,extended,mixer,MixerDevice,live_set tracks N mixer_device,property,panning_mode,Panning Mode,MixerDevice prop @ tracks N mixer_device,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,track,Track,live_set tracks N,property,performance_impact,Performance Impact,Track prop @ tracks N,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,automation_state,Automation State,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,default_value,Default Value,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,is_enabled,Enabled,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,max,Max,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,min,Min,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,original_name,Original Name,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,name,Parameter name,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,is_quantized,Quantized,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,state,State,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
6,mixer_metering_balance,"Mixer, Metering, and Balance",` + m,deep,parameter,DeviceParameter,live_set tracks N mixer_device volume,property,value_items,Value Items,DeviceParameter prop @ tracks N mixer_device volume,"Supports level, pan, and meter decisions without sight."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,selection,Song.View,live_set view,child,selected_chain,Selected chain,Song.View child @ view,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,selection,Song.View,live_set view,child,selected_parameter,Selected parameter,Song.View child @ view,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,session_global,Song,live_set,property,appointed_device,Appointed device,Song prop @ live_set,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,track,Track,live_set tracks N,child,group_track,Group Track,Track child @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,track,Track,live_set tracks N,child,devices,Track devices,Track child @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,track,Track,live_set tracks N,property,input_routing_channel,Input Routing Channel,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,track,Track,live_set tracks N,property,input_routing_type,Input Routing Type,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,track,Track,live_set tracks N,property,output_routing_channel,Output Routing Channel,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,track,Track,live_set tracks N,property,output_routing_type,Output Routing Type,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,track_view,Track.View,live_set tracks N view,child,selected_device,Selected device,Track.View child @ tracks N view,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,core,track_view,Track.View,live_set tracks N view,property,selected_device,Selected device,Track.View prop @ tracks N view,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,child,arrangement_clips,Arrangement Clips,Track child @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,child,take_lanes,Take Lanes,Track child @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,child,mixer_device,Track mixer device,Track child @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,child,view,Track view,Track child @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,available_input_routing_channels,Available Input Routing Channels,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,available_input_routing_types,Available Input Routing Types,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,available_output_routing_channels,Available Output Routing Channels,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,available_output_routing_types,Available Output Routing Types,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,can_be_frozen,Can be frozen,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,can_show_chains,Can show chains,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,fold_state,Fold State,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,is_foldable,Foldable,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,is_frozen,Frozen,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,is_grouped,Grouped,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,has_audio_input,Has audio input,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,has_audio_output,Has audio output,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,has_midi_input,Has midi input,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,has_midi_output,Has midi output,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track,Track,live_set tracks N,property,is_showing_chains,Showing Chains,Track prop @ tracks N,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track_view,Track.View,live_set tracks N view,property,is_collapsed,Collapsed,Track.View prop @ tracks N view,"Exposes wiring, chains, and focus targets."
7,track_device_routing_architecture,"Track, Device, and Routing Architecture",` + d,extended,track_view,Track.View,live_set tracks N view,property,is_showing_chains,Showing Chains,Track.View prop @ tracks N view,"Exposes wiring, chains, and focus targets."
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,is_ableton_link_enabled,Ableton Link enabled,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,is_ableton_link_start_stop_sync_enabled,Ableton Link start/stop sync enabled,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,can_jump_to_next_cue,Can jump to next cue,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,can_jump_to_prev_cue,Can jump to prev cue,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,can_redo,Can redo,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,can_undo,Can undo,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,exclusive_arm,Exclusive Arm,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,exclusive_solo,Exclusive Solo,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,re_enable_automation_enabled,Re Enable Automation Enabled,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,core,session_global,Song,live_set,property,session_automation_record,Session automation record,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,file_path,File Path,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,nudge_down,Nudge Down,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,nudge_up,Nudge Up,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,root_note,Root Note,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,scale_intervals,Scale Intervals,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,scale_mode,Scale Mode,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,scale_name,Scale Name,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,select_on_launch,Select On Launch,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,name,Set name,Song prop @ live_set,Confirms set-wide policies and transport conditions.
8,global_session_governance,Global Session Governance,` + g,extended,session_global,Song,live_set,property,tempo_follower_enabled,Tempo Follower Enabled,Song prop @ live_set,Confirms set-wide policies and transport conditions.
